"City","Venue","Key","Description","Use","Capacity","Max.Capacity"
"MEL","MEL BENDa","BENDa","BendigoAM","N","20","20"
"MEL","MEL RCOa","RCOa","Royal Childrens Orange AM","Y","20","20"
"MEL","MEL RCOp","RCOp","Royal Childrens Orange PM","Y","20","20"
"MEL","MEL RCPa","RCPa","Royal Childrens Purple AM","Y","20","20"
"MEL","MEL RCPp","RCPp","Royal Childrens Purple PM","Y","20","20"
"MEL","MEL SVRa","SVRa","St Vincents Red AM","Y","20","20"
"MEL","MEL SVBa","SVBa","St Vincents Blue AM","Y","20","20"
"MEL","MEL SVRp","SVRp","St Vincents Red PM","Y","20","20"
"MEL","MEL RCGa","RCGa","RCH Green AM","Y","20","20"
"MEL","MEL RCGp","RCGp","RCH Green PM","Y","20","20"
"MEL","MEL RMYa","RMYa","RMH Yellow AM","Y","20","20"
"MEL","MEL RMYp","RMYp","RMH Yellow PM","Y","20","20"
